id;topicID;contentid;videolink;videoupload;showvideo;name;description;first;second
4eafe841;;3f9ec568;https://www.youtube.com/shorts/HJmre-uoPyU;;;V.90_Potential solution?;;Yes;
c9646b45;;2daeba4d;https://www.youtube.com/shorts/BaJTF9NQD2s;;;V.64_Who can take responsibility for Harmful content;;Yes;
1615c0c4;;1b6752ee;https://www.youtube.com/shorts/iHKvqnUc01M;;;V.28_Traumatic image and Video - Bad to our mind?;;Yes;
ccbd0c7e;;1b6752ee;https://www.youtube.com/watch?v=4IL75NkonjY;;;V.49_Traumatic image and Video - Bad to our mind?;;;Yes
21e69a66;;2c807a7b;https://www.youtube.com/watch?v=W6CBb3yX9Zs;;;V.19_The news change the way we think and behave;;Yes;
030a9362;;0bdc6d7e;https://www.youtube.com/shorts/1-Stq4yuUvY;;;V.94_Nostradamus and his prediction;;Yes;
f18533d9;;843c9c0a;https://www.youtube.com/watch?v=LUGIFLV9cJM;;;Reciting V.46_Horace | “Ode I. 11” (23 BCE);;;
08f496ed;;82a8618e;https://youtu.be/XAn7pDKffa0;;;V.99_William Butler Yeats | “The Second Coming” (1919);;;Yes
e5583130;;3bbf461f;https://www.youtube.com/watch?v=6xUTgpEG-fE;;;Recite V.64_Robert Frost | “Fire and Ice” (1920);;Yes;
2b1a941a;;3bbf461f;https://www.youtube.com/shorts/L-am4ZyvDXU;;;Explanation V.84_Robert Frost | “Fire and Ice” (1920);;;Yes
f2db5daa;;b2bbdb66;https://www.youtube.com/shorts/rMfN6klyTvI;;;V.98_What is the practice of Divination?;;Yes;
410478b0;;9309ba09;https://www.youtube.com/shorts/923OlGP8XMQ;;;V.100_Haruspicy;;Yes;
17ee63d4;;0f6c3a45;https://youtu.be/r3EYNGJV420;;;V.44_Alectryomancy;;Yes;
41c6d671;;b40a1c82;https://www.youtube.com/shorts/VRGDS2WMHvE;;;V.57_Bibliomancy;;Yes;
1bcd18e6;;58841389;https://www.youtube.com/watch?v=hFKFZLiLjVA;;;V.32_Hydromancy;;Yes;
c7963486;;d2026826;https://www.youtube.com/shorts/Aobm-REsNQo;;;V.62_Astragalomancy;;Yes;
75470553;;d94f7439;https://www.youtube.com/watch?v=eBIS17Va9sA;;;V.19_Astrology for kids;;Yes;
c85eb477;;5e1a84ee;https://www.youtube.com/shorts/hZmEkkEmDxU;;;V.15_Palmistry;;Yes;
f718b291;;fa5edd2b;https://www.youtube.com/watch?v=lQbTWoU4OCw;;;V.44_Physiognomy;;Yes;
7deeb49c;;dc436d71;https://www.youtube.com/shorts/m15b422cCtc;;;V.34_Tasseography;;;Yes
8ab29d89;;dc436d71;https://www.youtube.com/shorts/m15b422cCtc;;;V.89_Tasseography;;Yes;
28f88703;;86b83fcd;https://www.youtube.com/shorts/LX9Sti1MJy4;;;V.53_fortune teller;;Yes;
eacace79;;a6f382a3;https://www.youtube.com/watch?v=Wvdy0UQNO9E;;;V.59_Oracle;;;
a42f639a;;d89dd87a;https://www.youtube.com/shorts/k3QOY8Xoe7c;;;V.13_Shaman;;Yes;
c17ee96c;;d89dd87a;https://www.youtube.com/watch?v=TFlIatziRB8;;;Peru V.81_Shaman;;;Yes
d7278178;;71cee8ef;https://www.youtube.com/shorts/QEYL0M7kJbQ;;;V.8_Witch;;Yes;
c7182066;;db300396;https://www.youtube.com/shorts/zhqxNOw-JTM;;;V.64_Clairvoyant;;Yes;
9c79a863;;671ed517;https://www.youtube.com/shorts/NJHKD6L_7BY;;;V.69_Ifá;;Yes;
6bfbbdd2;;0c20f315;https://www.youtube.com/shorts/uB0K-vNBCmo;;;V.96_Jyotish;;Yes;
51ee5abe;;a375a587;https://www.youtube.com/shorts/sF6Mx1WzdMk;;;V.74_Ching - Fortune tell;;Yes;
52ecdc2c;;f72e71d7;https://www.youtube.com/watch?v=5z6KxagYYyY;;;V.23_Bazi;;Yes;
45e3545c;;f651fa9f;https://www.youtube.com/shorts/7_gAWGPO0B8;;;V.36_Jiaobei;;Yes;
fea33c79;;f651fa9f;https://www.youtube.com/watch?v=uSCRm3ozCFw;;;V.30_Jiaobei;;;Yes
c3aaf0cd;;48849425;https://www.youtube.com/shorts/FnzWTIbOx28;;;V.61_Omikuji;;Yes;
478c2def;;48849425;https://www.youtube.com/watch?v=QJXjxh7YeYg;;;V.71_Omikuji;;;Yes
a0c97fde;;024d4cb3;https://www.youtube.com/shorts/kMe2BVbZQr4;;;V.11_Ouija;;Yes;
c0c2531f;;024d4cb3;https://www.youtube.com/shorts/vizeMHrEgYM;;;V.49_Ouija;;;Yes
8161d70c;;023b2317;https://www.youtube.com/shorts/nVEaq8UDbQw;;;V.1_Crystal ball;;Yes;
dcbde47d;;8af1fdd9;https://www.youtube.com/shorts/tV1PNPLG5HY;;;V.41_Fortune cookies- History;;Yes;No
bbdb6e50;;8af1fdd9;https://www.youtube.com/shorts/Qxez--_jYr4;;;V.11_Fortune cookies;;No;Yes
7e42a197;;82cbdd6c;https://www.youtube.com/shorts/xMJ4qJ5w888;;;V.57_Horoscopes;;Yes;
cd5b8952;;73a4c499;https://www.youtube.com/shorts/Y2RSx2ONvlc;;;V.64_Michio Kaku;;;
443f1864;;685c3064;https://www.youtube.com/shorts/xltAqCLILaw;;;V.67_Michio Kaku 's Predictions;;Yes;
1af7379e;;685c3064;https://www.youtube.com/shorts/69cykAYEQik;;;V.6_Michio Kaku 's Predictions;;;Yes
4500da57;;c3518ac3;https://www.youtube.com/shorts/MuUfZ8M2rvY;;;V.21_Discussion about his prediction;;Yes;
c2767d3d;;6ea6f9a3;https://www.youtube.com/watch?v=VcdPyzCgkZk;;;V.53_Flying car;;No;Yes
adfea28a;;6ea6f9a3;https://www.youtube.com/shorts/-OIaGIg1Ohc;;;V.34_Flying car;;Yes;
